UV,catégorie,titre,diplome,mineur,C,Cvolume,TD,TDvolume,TP,TPvolume,THE,THEvolume,PRJ,PRJvolume,ENT,ENTvolume,STG,STGvolume,periode1,periode2,antécédent,commentaires,credits,langues,objectif1,objectif2,objectif3,objectif4,objectif5,objectif6,objectif7,programme1,programme2,programme3,programme4,programme5,programme6,programme7,programme8,programme9,programme10,programme11
GE32,ME,Ingénierie financière de l'entreprise,UV ing.,GEB,C,21 h,TD,21 h,,,THE,60 h,,,,,,,Printemps,,,Mineur : GEB,4 crédits,FRA,approfondir ses connaissances en gestion,acquérir une formation sur le diagnostic financier de l'entreprise,maîtriser les outils indispensables à la prise de décision lors d'investissements,,,,,maîtrise de la trésorerie et de sa gestion à court terme,analyse financière et notion de risque financier,rentabilité d'une entreprise et impact de ses investissements,critères d'évaluation d'un projet d'investissement et choix du financement,analyses de cas pratiques et de cas réels d'entreprises françaises dans divers secteurs industriels,,,,,,
GE33,ME,Projet de synthèse de gestion d'entreprise,UV ing.,GED,C,28 h,,,,,THE,68 h,,,,,,,Automne,,,Mineur : GED,4 crédits,FRA,permettre aux futurs ingénieurs de concrétiser leurs connaissances et prendre conscience des différentes imbrications qui existent en gestion,,,,,,,Quatre dossiers correspondant aux quatre aspects fondamentaux de la création,d'une entreprise industrielle doivent être réalisés :,dossier marketing : étude de marché simplifiée (enquête à réaliser),"dossier production : étude de la chaîne de fabrication, calculs des stocks et étude de l'implantation de l'usine",dossier personnel : définir la politique des ressources humaines et calculs des coûts,"dossier business plan : à partir des hypothèses élaborées au cours des trois dossiers précédents, synthèse avec présentation des documents prévisionnels",,,,,
GE34,ME,Stratégie et management de l'entreprise,UV ing. ou UV CS pour mast.,GEB,C,28 h,TD,14 h,,,THE,60 h,,,,,,,Automne,Printemps,,Mineur : GEB,4 crédits,FRA,comprendre l'essence même de la crise à travers une analyse pertinente des causes de la réussite ou de l'échec des entreprises,,,,,,,les facteurs clés du succès (fondamentaux de l'organisation),"les phases de croissance de l'entreprise (E. FLAMHOLZ, 1991)",développement des méthodes du diagnostic de crise,exploration des outils de restructuration stratégique (Mac Kinsey),,,,,,,
GE36,ME,Marketing,UV ing. ou UV mast.,"GEB, GED",C,21 h,TD,21 h,,,THE,60 h,,,,,,,Automne,Printemps,,"Mineur : GEB, GED",4 crédits,FRA,"maîtriser les ""fondements"" du marketing",,,,,,,esprit et démarche du marketing,"études de marché : fondements, techniques, applications","politiques marketing : produit, prix, distribution, communication",nouveaux outils du marketing pour le XXIe siècle,introduction au marketing industriel,,,,,,
GE37,ME,Management de l'innovation,UV ing.,"GEA, GEB, GEE, INNOVE-UT",C,28 h,TD,14 h,,,THE,60 h,,,,,,,Automne,Printemps,,"Mineur : GEA, GEB, GEE, Innove-UT|Picto UE réalisée entièrement en ligne ou dématérialisée",4 crédits,FRA,présenter les différents processus d'innovation mis en place par les entreprises dans ses dimensions technologiques et organisationnelles,en étudier les spécificités et les difficultés,,,,,,"qu'est-ce que l'innovation? (enjeux, processus de sélection, facteurs clés et obstacles à l'innovation, application de l'innovation)","qu'est-ce qu'une entreprise innovante? (alliances et stratégies innovantes, structures innovantes, rôle de la RD, innovation technologique : les NTIC...)","qu'est-ce que conduire un projet innovant? (management innovation : modèles par phases, logique de projet, capitalisation des innovations...)",,,,,,,,
GE38,ME,Management et outils d'aide à la créativité industrielle et à l'innovation,UV ing.,INNOVE-UT,C,14 h,TD,42 h,,,THE,86 h,,,,,,,Printemps,,,Mineur : Innove-UT|Picto UE réalisée entièrement en ligne ou dématérialisé|Examen sur table,6 crédits,FRA,"Appréhender la créativité industrielle du point de vue théorique et pratique, dans un contexte élargi.",,,,,,,mise en oeuvre des outils d'aide à la créativité dans le cadre de TP et d'un projet réel,savoir capitaliser les connaissances,"différencier savoir et savoir-faire, connaissances,compétences",effectuer de la veille,effectuer un audit technologique,gérer la protection industrielle,,,,,
GE40,TM,Commerce des matériaux,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,5 h,,,,,Automne,,,Maîtrise du français : **  niveau C1|Intervenants extérieurs supérieur à 75%***,6 crédits,FRA,Connaître et analyser les différents paramètres influant le marché des matériaux et leur prix de vente.,,,,,,,connaitre les bases du marché des matériaux et comprendre leur fonctionnement,acquérir une logique d'analyse de l'impact de l'interaction des acteurs sur le prix des matériaux,appliquer les notions de gestion et de bases du calcul de coût dans les organisations,élargir le coût d'un produit à l'ensemble de son cycle de vie et appréhender les externalités,acquérir les bases du métier d'acheteur,comprendre le marketing et sa fonction en entreprise,savoir mener une étude de marché/Application aux marchés des matériaux,,,,
GE41,ME,Technologie et Management de l'Innovation,UV ing.,"GEE, INNOVE-UT",C,21 h,TD,21 h,,,THE,88 h,,,,,,,Automne,Printemps,,"Mineur : GEE, Innove-UT|Picto UE réalisée entièrement en ligne ou dématérialisée|Examen sur table",6 crédits,FRA,"Acquérir des compétences en gestion de l'innovation dans ses dimensions humaines, financières et organisationnelles, à partir de l'exploitation de récits d'experts ayant innové, de documents sélectionnés et de cours en ligne.",,,,,,,"gestion de projet d'innovation : financement, organisation, propriété industrielle","gestion d'une équipe innovante : management de la créativité,des activités en ligne permettant de travailler la recherche d'information, l'élaboration collaborative de bases de connaissances et de gestion de la propriété industrielle","une simulation complète de la gestion de projet innovant, dans ses trois dimensions, sera réalisée sous forme de projet",,,,,,,,
GE43,ME,Création d'entreprise : phase pratique,UV ing.,GED,,,TD,28 h,,,,,,,,,,,Printemps,,GE33,Mineur : GED,4 crédits,FRA,phase active de la réalisation de projet d'entreprise déjà réfléchi en GE33,construction d'un business plan,création d'entreprise à la sortie de l'UTT ou ultérieurement,,,,,"de façon autonome, chaque groupe contactera les intervenants rencontrés lors de GE33 afin de réaliser les travaux nécessaires à la mise en place de leur projet",organiser ses rendez-vous avec des professionnels afin de se rapprocher de la réalité du créateur d'entreprise,apprendre à s'organiser et à manager un groupe,,,,,,,,
GE44,ME,Intercultural Business and Management,UV ing. ou UV mast.,"INNOVE-UT, CIE",C,28 h,TD,14 h,,,THE,60 h,,,,,,,Automne,Printemps,LE03,"Mineur : CIE, Innove-UT",4 crédits,FRA,introduction to the world of work in an international context. ,how to benefit from working in an intercultural team and learning to overcome associated difficulties and/or benefitting from university exchange semesters and/or past or future international internships,,,,,understand the importance of international experience and the importance to business ,understand differences in laws and regulations  ,understand different cultures and cultural levels,be able to adapt to and benefit from these differences,be able to manage and work effectively in an intercultural team ,,,,,,,
GL01,TM,Introduction au génie logiciel,UV ing.,,C,28 h,TD,28 h,TP,32 h,THE,62 h,PRJ,24 h,,,,,Printemps,,,Maîtrise du français : *   niveau B2|Picto pédagogie par porjet,6 crédits,FRA,Cette UV permet de comprendre les rôles et les enjeux du logiciel comme produit d'ingénierie et de s'initier aux méthodes et outils nécessaires à la réussite d'un projet logiciel.,,,,,,,comprendre le processus de développement logiciel en tant que organisation de phases (cycle de vie d'un logiciel),savoir identifier et traiter les éléments essentiels d'un logiciel (MVP-Minimum Viable Product),savoir coopérer en équipe pour la conception et le développement d'applications,comprendre les principes de base de programmation objets et évènementielle,savoir mobiliser les compétences acquises (mise en pratique à travers un projet en équipe dans un environnement pédagogique de développement),,,,,,
GL02,CS,Fondements de l'ingénierie logicielle,UV ing.,,C,28 h,TD,14 h,TP,17 h,THE,91 h,PRJ,50 h,,,,,Automne,,,Maîtrise de français : *   niveau B2,6 crédits,FRA,"Comprendre et mettre en pratique les liens entre spécification, implémentation et tests au c½ur de la démarche ","d'ingénierie logicielle pour le développement de projets logiciels efficients, maintenables, utilisables et sûrs",,,,,,modéliser les fonctions d'un logiciel,spécifier des formats de données et des traitements,contrôler la conformité à une spécification,conduire une inspection des sources d'un projet logiciel,coordonner des développements en équipe,réaliser un projet complet en petite équipe afin de participer à l'ensemble des étapes d'un projet d'ingénierie logicielle,"se former en autonomie à la maîtrise d'un langage de programmation (Python, Javascript, Ruby ou Lua)",,,,
GP06,TM,Organisation et gestion de la production,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,Maîtrise du français: ** niveau C1,6 crédits,FRA,Notions essentielles à la conduite d'un système de production et du management des opérations logistiques en intégrant les aspects économiques et humains du milieu industriel.,,,,,,,"comprendre le contexte technico-économique d'une entreprise, différencier les typologies de production et identifier les problématiques du management des opérations",organiser la circulation de flux via la localisation de sites/implantation de moyens de production,"planifier des activités (prévoir la demande, générer un planning de projet et de production)",identifier et calculer les indicateurs permettant de gérer et suivre les opérations,"maîtriser les principaux paramètres de gestion : stocks, MRP, Kanban, TOC","connaître les concepts de réduction des gaspillages, flexibilité et réactivité",,,,,
GP17,TM,Ordonnancement de la production,UV ing. ou UV mast.,,C,28 h,TD,28 h,TP,20 h,THE,74 h,PRJ,40 h,,,,,Printemps,,,UE ouverte à l'alternance,6 crédits,FRA,"L¿affectation des ordres de fabrication aux ressources et leur séquencement doivent être optimisés pour minimiser le retard, les encours et maximiser la productivité, en respectant les contraintes du processus de production.",,,,,,,"savoir identifier les problèmes de base NP-difficile, et calculer les principaux critères en ordonnancement ",connaître les méthodes pour les problèmes à une machine ,"savoir identifier les contraintes et caractéristiques des problèmes d¿ordonnancement en atelier et sur machines parallèles, et mettre en application la méthode la plus appropriée","connaître les enjeux et des approches pour des problématiques complexes telles que l¿ordonnancement conjoint de la maintenance et de la production, la prise en compte de la consommation énergique",connaître la différence entre les problèmes d¿ordonnancement offline et online,,,,,,
GP27,TM,Méthodes de gestion des stocks et de prévision de la demande,UV ing.,,C,28 h,TD,28 h,TP,14 h,THE,80 h,PRJ,60 h,,,,,Automne,,,ouverte à l'alternance,6 crédits,FRA,"Cette unité de valeur permet d'étudier les méthodes de prévision de la demande (à court et long terme) et les politiques de gestion de stocks dans différentes configurations (mono, multi-produit, mono, multi-site, déterministes ou aléatoires).",,,,,,,classifier des produits et valoriser un stock,choisir et appliquer les modèles de prévision de la demande à court et long terme,"choisir et mettre en place une politique adéquate de stockage, déterminer les paramètres (période de révision, quantité à commander, seuil de déclenchement, stock de sécurité)","programmer des modèles mathématiques issus de la recherche opérationnelle et des méthodes de résolution (VBA, solveur)",choisir puis étudier un article dans les bases de données scientifiques ,,,,,,
GP28,TM,Excellence industrielle,UV ing.,,C,28 h,TD,28 h,TP,24 h,THE,70 h,PRJ,40 h,,,,,Automne,,GP06,Maîtrise du français : **niveau C1|Intervenants extérieurs supérieur à 40%**,6 crédits,FRA,Les concepts et techniques de l'amélioration continue sont une formidable opportunité pour les industriels de développer des avantages compétitifs en améliorant la satisfaction de leurs clients tout en maîtrisant leurs flux et leur trésorerie et en mobilisant leurs employés,,,,,"être capables de modéliser un système industriel dans sa globalité en faisant le lien entre les caractéristiques opérationnelles de ses processus et la performance économique, la satisfaction des clients, la réactivité et la trésorerie","avoir élaborer des indicateurs de performance correspondant à la vraie problématique, aux vrais objectifs et en prenant en compte le contexte concurrentiel de l'entreprise",savoir entrainer les acteurs de l'entreprise dans un mouvement vertueux de progrès permanent en créant un climat de confiance et de bien-être  ,"maitriser les concepts et outils de l'amélioration continue (Lean Management, Six Sigma, Théorie des Contraintes)",,,,,,,,,
GP30,TM,Pricing Intelligent et Optimisation des Revenus,UV ing.,,C,28 h,TD,28 h,TP,12 h,THE,82 h,PRJ,20 h,,,,,Printemps,,,Drapeau français/anglais|UE ouverte à l'alternance,6 crédits,FRA,"Cette UE a pour objectif d'introduire à la fois à la théorie et à la pratique de la gestion des revenus et de la tarification intelligente (Smart pricing). Elle mobilise des connaissances de la gestion des opérations, de statistiques appliquées et de recherche opérationnelle avec une coloration microéconomique. Il s'agit de donner une compétence pratique des outils analytiques qui portent directement sur les décisions économiques de l'entreprise. Il s'agit également d'utiliser l'analyse statistique, y compris les modèles de régression classiques, pour estimer les paramètres économiques pertinents, prédire les résultats et tester les hypothèses économiques à l'aide de données quantitatives.",,,,,,mobiliser et mettre en pratique des méthodes économétriques basées sur les modèles de régression ,"être capable de modéliser, caractériser et d¿analyser des fonctions de demande (réponse au prix) en se basant sur différentes données quantitatives",comprendre comment les méthodes de tarification pour l¿optimisation des revenus (méthodes d¿optimisation basées sur le prix),maîtriser les outils d¿aide à la décision appliqués au pricing ,"comprendre la pratique de la gestion des revenus et de pricing dans diverses industries (énergie, industrie pharmaceutique¿)",,,,,,,
GS10,CS,"Sécurité des SI, problématique, aspects légaux et réglementaires",UV mast.,,C,20 h,TD,20 h,,,THE,50 h,PRJ,10 h,,,,,Automne,,,Maîtrise du français : *   niveau B2|Intervenants supérieur ou égal à ** 40 %,4 crédits,FRA,Tout responsable de la sécurité des systèmes d'information se doit de connaître les références juridiques liées aux développements et aux usages des technologies numériques.,,,,,,,"connaître les principales lois relatives à la SSI pour pouvoir s'y référer : Informatique et liberté, Godfrain, LOPPSI2, Carayon",connaître la définition de la cyber criminalité dans le droit pénal français ,savoir sécuriser juridiquement un projet informatique ,savoir adapter les notions de propriété intellectuelle aux créations logicielles ,connaître les limites juridiques à la cybersurveillance  ,,,,,,
GS11,CS,Techniques de sécurisation,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,20 h,,,,,Automne,,,Intervenants extérieurs supérieur à 15%*,6 crédits,FRA,"Il existe des techniques de base pour sécuriser les composants d'un système : postes de travail, serveurs, smartphones, etc. Certaines architectures (Cloud, SCADA) posent aujourd'hui des défis importants qu'il faut connaître.",,,,,,,connaître les enjeux de la sécurité physique,savoir protéger les stations de travail et les serveurs Microsoft,savoir protéger les serveurs web ,connaître les vulnérabilités et les enjeux de sécurité des architectures de type Cloud et les systèmes SCADA,,,,,,,
GS13,CS,Gouvernance de la sécurité,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,20 h,,,,,Automne,,,Maîtrise du français : *   niveau B2|Intervenants supérieur ou égal à ** 40 %,6 crédits,FRA,La sécurisation des systèmes d'information nécessite une approche globale pour évaluer les risques et apporter des solutions de protection cohérentes.,,,,,,,"connaître les principales méthodes d'analyse de risques (ISO, Mehari, Ebios) et savoir les comparer et les appliquer",savoir définir une politique de sécurité (PSSI),savoir établir un plan de reprise et un plan de continuité d'activité en cas d'incident ,savoir faire un audit de sécurité ,savoir mener une veille technologique sur les menaces et les solutions ,,,,,,
GS15,CS,Cryptologie et signature électronique,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,40 h,,,,,Automne,,,Maîtrise du français : *   niveau B2,6 crédits,FRA,"La sécurité des systèmes de communications et des réseaux repose très largement sur des méthodes de cryptographie. En outre, les algorithmes de chiffrement sont toujours utilisés dans des processus incluant signature électronique, authentification et échanges de clés.",,,,,,comprendre l'intérêt des différentes techniques de chiffrement de signature et d'authentification ; appréhender les avantages et les inconvénients de chacune,connaître les bases de l'arithmétique modulaire et savoir les utiliser pour la résolution d'équations diophantiennes à l'aide d'algorithme efficaces,"maîtriser le fonctionnement des standards de chiffrement symétrique et asymétrique (DES, AES, El-Gamal et RSA)",comprendre le fonctionnement et l'intérêt des principaux algorithmes de hashage et de la signature électronique,"savoir quand et comment utiliser les différents outils que sont le chiffrement, le hashage et la signature électronique",,,,,,,
GS16,CS,Sécurité des réseaux des nouvelles architectures,UV mast.,,C,20 h,TD,20 h,,,THE,40 h,PRJ,20 h,,,,,Automne,,,Maîtrise du français : *   niveau B2|Intervenants supérieur ou égal à * 15 %,4 crédits,FRA,"La connexion à l'internet suscite des cyber-attaques contre les systèmes, qui nécessitent des moyens de protection mais aussi de détection adaptée.",,,,,,,"connaître les fondamentaux de la protection des réseaux (protocoles sécurisés, équipements, segmentation, filtrage) pour être capable de structurer une architecture réseau et d'appliquer les bonnes pratiques","connaître les vulnérabilités et les contremesures pour des architectures particulières : téléphonie sur IP, réseaux sans fil, pour être capable ensuite de les intégrer   ",connaître les différentes types d'attaques et leur caractéristiques pour mieux les anticiper,connaître les méthodes de détection d'intrusion et leurs applications (IDS/IPS) ,,,,,,,
GS21,CS,Cyber-enquête en entreprise,UV mast.,,C,25 h,TD,0 h,,,THE,125 h,PRJ,10 h,,,,,Automne,,,Maîtrise du français niveau B2*|Intervenants extérieurs supérieur à 40%**,6 crédits,FRA,"Dans les formations relatives à la SSI, il est rarement question de la gestion des incidents. Il est important pour de futurs RSSI de connaître les scénarios possibles et les services d'enquêtes concernés : gendarmerie, police, douanes, etc.",,,,,,,"connaître les différents acteurs habilités, le cadre légal de leurs interventions, les données recherchées",savoir ce que l'entreprise peut et ne doit pas faire en matière d'investigations préalables à l'enquête ,connaître le traitement juridique des incidents ,savoir gérer les crises ,savoir gérer les impératifs de l'enquête et ceux de la remise en service ,"savoir se comporter avec les différents acteurs concernés : enquêteur, administrateur, direction générale ",,,,,
HT03,CT,Regards sur l'histoire de l'art moderne et contemporain,UV ing.,,C,28 h,TD,14 h,,,THE,50 h,,,,,,,Automne,,,Maîtrise du français : ** niveau C1|Intervenants extérieurs supérieur ou égal à 75% ***,4 crédits,FRA,"L'art moderne et contemporain est indissociable du contexte socioculturel et économique. L'appréciation d'une ½uvre d'art dépend d'un marché. Il s'agira de porter un regard croisé sur toutes ces dimensions, grâce notamment à un contact direct avec les ½uvres d'art des musées et lieux patrimoniaux troyens.",,,,,,,situer des ½uvres d'art dans le contexte historique et culturel de l'Europe du milieu du XIXe siècle à nos jours,"reconnaître les différents courants artistiques à travers des ½uvres particulières (France, Allemagne, Belgique, Pays-Bas, Italie, Russie, monde anglo-saxon)","commenter différents types d'½uvres d'art : peintures, sculptures, arts décoratifs",relier l'appréciation des ½uvres d'art contemporaines au contexte économique et commercial de l'art ,,,,,,,
HT05,CT,Histoire de la physique et de l'astronomie,UV ing.,,C,21 h,TD,21 h,,,THE,60 h,,,,,,,Printemps,,,Maîtrise du français : *** niveau C2,4 crédits,FRA,"L'histoire de la physique et celle de l'astronomie seront abordées jusqu'aux développements récents, et des plus surprenants, de la cosmologie : l'héritage grec, l'Europe du XVIe-XVIIIe, la physique quantique, la relativité, la lumière, l'astronomie, l'astrophysique et la cosmologie.",,,,,,,"questionner les concepts scientifiques, leur sens, ainsi que les changements de paradigmes, en exerçant sa curiosité et son esprit critique",mobiliser ses connaissances scientifiques pour les articuler et les situer dans l'élaboration de la physique et de l'astronomie,"relier les connaissances scientifiques à leur contexte historique, pour en comprendre leur émergence, leur évolution et leur portée",rendre le monde physique intelligible grâce aux grandes idées scientifiques ,,,,,,,
HT07,CT,Géopolitique du monde contemporain,UV ing. ou UV CS pour mast.,,C,21 h,TD,21 h,,,THE,60 h,PRJ,10 h,,,,,Printemps,,,Intervenants extérieurs supérieur ou égal à 75% ***,4 crédits,FRA,"Dans le cadre du référentiel défense et sécurité «Nouveaux risques du 21e siècle», aborder la géopolitique du monde contemporain, les outils Internet et les risques : intelligence économique, cyber guerre, les nouveaux lieux et acteurs.",,,,,,,analyser une situation géopolitique particulière,"appréhender les relations internationales et les grandes aires géopolitiques (Europe, Afrique, Asie-Pacifique, Moyen-Orient et Amériques)",connaître les nouvelles compétitions espace/temps avec la mondialisation et la globalisation ,"études de cas à différentes échelles : planétaire, continentale, régionale et locale ","appliquer la méthodologie géopolitique pour la présentation des sources, des recherches actuellement menées et des outils d'analyse",réduire les risques de l'intelligence économique et établir une prospective stratégique de demain,,,,,
HT09,CT,Culture scientifique,UV ing.,,C,22 h,TD,20 h,,,THE,40 h,,,,,,,Automne,Printemps,,Maîtrise du français : *** niveau C2,4 crédits,FRA,Comprendre le cheminement de la pensée scientifique,,,,,,,cheminement de la pensée scientifique au cours des siècles,pourquoi et comment l'innovation se développe?,les révolutions industrielles,"progression des techniques dans les domaines de l'électronique, l'électrotechnique, l'automatique et l'informatique",applications à différents sujets et différentes époques,,,,,,
HT10,CT,Histoire et épistémologie de la physique quantique,UV ing.,,C,21 h,TD,21 h,,,THE,60 h,,,,,,,Printemps,,,Maîtrise du français : ** niveau C1|Quelques résolutions d'équations à prévoir,4 crédits,FRA,"Plusieurs formulations de la physique quantique seront abordées, elles seront notamment reliées aux phénomènes classiques afin de faire la part entre ce qui est propre au domaine d'étude et ce qui vient du formalisme retenu pour exprimer les lois. L'approche sera historique (du début du XXe à aujourd'hui), épistémologique et technique (quelques résolutions d'équations).",,,,,,,"donner un sens physique à des formulations et expressions mathématiques, déterminer les limites des interprétations proposées",identifier les niveaux de représentation d'un domaine scientifique (nature d'objets ou observables...),analyser la manière dont un formalisme influence les représentations de phénomènes,"manipuler des phénomènes et des concepts non intuitifs, travailler sur des problématiques sans faire appel au sens commun",situer le projet des sciences comme recherche d'intelligibilité et de prévisibilité des phénomènes,,,,,,
HT11,CT,Histoire et technologie des objets quotidiens,UV ing.,,,,TD,42 h,,,THE,55 h,,,,,,,Printemps,,,Maîtrise du français : * niveau B2,4 crédits,FRA,"Les objets de la vie quotidienne relient des propriétés et des fonctions qui évoluent dans l'histoire de la société, corrélativement aux progrès des sciences et des techniques, mais aussi par rapport aux évolutions sociétales. Il s'agira de démonter et d'analyser les éléments constitutifs d'objets quotidiens pour comprendre ",l¿articulation entre ces dimensions humaines et techniques.,,,,,,effectuer une recherche bibliographique à visée technologique et historique,"comprendre l'impact sociétal de l'évolution de la technologie, et réciproquement",identifier les éléments fonctionnels essentiels d'un objet technologique,faire le lien entre un principe physique et son application technologique,imaginer une évolution/innovation de l'objet,communiquer de façon vulgarisée selon différents médias,,,,,
HT12,CT,Conférences de l'Ecole du Louvres,UV ing.,,C,12 h,TD,8 h,,,THE,24 h,,,,,,,Automne,,,"Maîtrise du français : * niveau B2 |Intervenants extérieurs supérieur ou égal à 75% ***|groupe restreint, 12 personnes maximum. UE offerte avec la Maison du Patrimoine et le Centre Universitaire Troyen",2 crédits,FRA,"Cette UE offre un cycle de cours thématiques assurés par l'Ecole du Louvre (archéologie, histoire de l'art, histoire des civilisations et muséologie) à proximité de l'UTT le mercredi soir. Le programme d'automne 2017 s'intéressera à l'étude de quelques ½uvres phares du XXe siècle, à titre d'exemple.",,,,,,,découvrir le champ des sciences du patrimoine et les capacités d'analyse et de synthèse associées ,effectuer des recherches complémentaires en autonomie ,développer son aptitude à s'ouvrir à la richesse culturelle et/ou patrimoniale des productions et civilisations humaines,,,,,,,,
HT13,CT,Humanités techniques et design d'artefacts,UV ing.,,C,28 h,,,,,THE,24 h,,,,,,,Automne,,,Maîtrise du français : * niveau B2 |Intervenants extérieurs supérieur ou égal à 75% ***|16 personnes maximum,4 crédits,FRA,Cette UE est offerte avec l'Ecole Supérieure de Design. Il s'agit de s'initier à l'histoire longue de l'évolution technique et de réfléchir à la production d'artefacts sous l'angle des sciences et de la philosophie du design.,,,,,,,s'initier à la macro-histoire des techniques ainsi qu'aux sciences et à la philosophie du design,"dans le cadre d'un travail collaboratif entre élèves-ingénieurs et élèves-designers, analyser des artefacts emblématiques de l'évolution technique et en proposer une ré-interprétation contemporaine entre ingénierie, design et critique",,,,,,,,,
IF01,CS,Théorie et codage de l'information,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,,6 crédits,FRA,"Devant l'ampleur actuelle des technologies de communications, il est important de comprendre le fonctionnement des systèmes de communication et la manipulation de l'information mise en jeu.",,,,,,comprendre le fonctionnement d'un système de communication,savoir quantifier l'information au sens de Shannon,modéliser une source d'information,coder l'information émise par une source discrète,modéliser un canal de transmission,comprendre le codage canal robuste face au bruit,,,,,,
IF02,CS,Modélisation pour la conception des SI,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,50 h,,,,,,,,Maîtrisie du français : *** niveau C2|Drapeau français anglais,6 crédits,"ANG, FRA","L'objectif de cette UV est l'apprentissage du rôle des technologies de l'information et de la communication pour résoudre des problèmes dans les organisations. Les étudiants s'approprient le concept de Système d'Information (SI), et de la conception orientée objet de ces SI.",,,,,,,comprendre l'alignement stratégique du Système dInformation ,analyser les tâches d'un métier,établir les exigences fonctionnelles en partant des exigences prédéfinies,"rassembler, formaliser et valider des exigences techniques et non-techniques pour les systèmes sociotechniques complexes ","maîtriser des techniques, normes et méthodes  de spécification orientée objet (UML : diagramme de cas d'utilisation, de classes, d'états-transitions, de séquence, d'activité)",produire de la documentation,,,,,
IF02A,CS,Object-Oriented System Analysis and Design,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,45 h,,,,,Automne,,,,6 crédits,"ANG, FRA",This course gives the concepts and techniques for analyzing the requirements for information systems and designing such systems for solving business problems. Students will go through the steps of system analysis and design by engaging with and object oriented and use-case driven real-life practical case.,,,,,,,positioning a project towards the organization strategy of an organization,defining and applying requirements gathering techniques,modelling the current functioning of an organization,modeling a technical solution to be able to present it to users and get approval,documenting an Information System project,,,,,,
IF03,TM,Initiation à la Sécurité des Systèmes d'Information,UV ing. ou UV mast.,,C,28 h,TD,24 h,,,THE,98 h,PRJ,20 h,,,,,Printemps,,,Maîtrise du français : ** niveau C1|Intervenants extérieurs supérieur à 15%*,6 crédits,FRA,"Appréhender les bases concernant la Sécurité des Systèmes d'Information en entreprise autant dans sa dimension technique, qu'organisationnelle et humaine.",,,,,comprendre les grands principes (DICP),identifier les menaces potentielles pour la sécurité,concevoir des architectures sécurisées,établir les exigences fonctionnelles et techniques,procéder à des investigations informatiques,réaliser des audits de sécurité,proposer des mesures d'urgence efficaces,,,,,,
IF05,CS,Qualité du logiciel,UV ing.,,,,TD,60 h,,,THE,90 h,PRJ,70 h,,,,,Printemps,,,Maîtrise du français : *   niveau B2,6 crédits,FRA,"Mettre en ½uvre les méthodes dites « agiles » dans le domaine de la création logicielle en vue du respect de la qualité, des coûts et des délais.",,,,,,,aider les utilisateurs ciblés à énoncer des récits à propos de ce qu'ils pourraient faire avec le logiciel,identifier et décrire des fonctionnalités du logiciel (tickets),planifier et assurer le suivi d'un projet logiciel de manière itérative (kanban),réaliser des maquettes et rédiger un manuel d'utilisation autour de scénarios d'usage,"élaborer, automatiser et faire passer des tests de recette",concevoir et développer une fonctionnalité de manière « frugale »,,,,,
IF06A,CS,Computer Supported Cooperative Work,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,45 h,,,,,Automne,,,,6 crédits,"ANG, FRA","This course provides a survey of the social, organizational, and technical concepts and issues","involved in designing, developing, deploying, and evaluating software systems supporting cooperation and",coordination in organizations.,,,,,6understanding the most important research traditions and problem statements within the field,conducting observation work,identifying collaborative practices,incorporating insights from observation work into system design,coordinating participatory design sessions,"discussing concepts in the field of computersupported cooperative work (coordination, cooperation, collaborative mechanisms and artefacts, practice-based computing, design case study, awareness, knowledge sharing, heuristic evaluation, scenario-based design,...)",,,,,
IF08,CS,Management de projets informatiques,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,50 h,,,,,Printemps,,stage,Maîtrise du français : *** niveau C2|Intervenants extérieurs supérieur à 40%**,6 crédits,FRA,"L'objectif de cette UE est l'appropriation des principes et techniques du management de projets informatiques, tant du point de vue de la maîtrise d4½uvre que de la maîtrise d'ouvrage.",,,,,,,"appliquer les techniques, normes et méthodes  de planification, mettre en place un plan d'activités","gérer les risques, proposer des mesures d'urgence efficaces","mettre en ½uvre des techniques, normes et méthodes de travail collaboratif, coordonner des développements en équipe",produire de la documentation,"gérer la relation client, accompagner le changement",,,,,,
